Watching for file changes with StatReloader
Not Found: /accounts/login/
[25/Jan/2026 17:07:17] "GET /accounts/login/ HTTP/1.1" 404 5101
[25/Jan/2026 17:08:17] "GET /login/ HTTP/1.1" 200 14842
[25/Jan/2026 17:08:17] "GET /static/css/dist/styles.css?v=1769348297 HTTP/1.1" 200 143103
[25/Jan/2026 17:08:19] "POST /login/ HTTP/1.1" 302 0
[25/Jan/2026 17:08:19] "GET / HTTP/1.1" 200 21463
[25/Jan/2026 17:08:19] "GET /static/css/dist/styles.css?v=1769348299 HTTP/1.1" 200 143103
[25/Jan/2026 17:08:19] "GET /cowork/map-builder/ HTTP/1.1" 200 24783
[25/Jan/2026 17:08:20] "GET /static/img/floorplan.svg HTTP/1.1" 200 693194
[25/Jan/2026 17:08:23] "GET /cowork/ HTTP/1.1" 200 29555
[25/Jan/2026 17:08:23] "GET /static/css/dist/styles.css?v=1769348303 HTTP/1.1" 200 143103
[25/Jan/2026 17:09:56] "GET /login/ HTTP/1.1" 200 14842
[25/Jan/2026 17:09:56] "GET /static/css/dist/styles.css?v=1769348396 HTTP/1.1" 200 143103
[25/Jan/2026 17:09:58] "POST /login/ HTTP/1.1" 302 0
[25/Jan/2026 17:09:58] "GET / HTTP/1.1" 200 21463
[25/Jan/2026 17:09:58] "GET /static/css/dist/styles.css?v=1769348398 HTTP/1.1" 200 143103
[25/Jan/2026 17:09:58] "GET /cowork/map-builder/ HTTP/1.1" 200 24783
[25/Jan/2026 17:09:58] "GET /static/img/floorplan.svg HTTP/1.1" 200 693194
[25/Jan/2026 17:10:02] "GET /cowork/ HTTP/1.1" 200 29466
[25/Jan/2026 17:10:02] "GET /static/css/dist/styles.css?v=1769348402 HTTP/1.1" 200 143103
[25/Jan/2026 17:10:39] "HEAD /static/img/floorplan.svg HTTP/1.1" 200 0
[25/Jan/2026 17:11:32] "GET /login/ HTTP/1.1" 200 14842
[25/Jan/2026 17:11:32] "GET /static/css/dist/styles.css?v=1769348492 HTTP/1.1" 200 143082
[25/Jan/2026 17:11:35] "POST /login/ HTTP/1.1" 302 0
[25/Jan/2026 17:11:35] "GET / HTTP/1.1" 200 21463
[25/Jan/2026 17:11:35] "GET /static/css/dist/styles.css?v=1769348495 HTTP/1.1" 200 143082
[25/Jan/2026 17:11:35] "GET /cowork/map-builder/ HTTP/1.1" 200 24783
[25/Jan/2026 17:11:35] "GET /static/img/floorplan.svg HTTP/1.1" 200 693194
[25/Jan/2026 17:11:38] "GET /cowork/ HTTP/1.1" 200 29466
[25/Jan/2026 17:11:38] "GET /static/css/dist/styles.css?v=1769348498 HTTP/1.1" 200 143082
[25/Jan/2026 17:12:14] "GET /login/ HTTP/1.1" 200 14842
[25/Jan/2026 17:12:14] "GET /static/css/dist/styles.css?v=1769348534 HTTP/1.1" 200 143082
[25/Jan/2026 17:12:17] "POST /login/ HTTP/1.1" 302 0
[25/Jan/2026 17:12:17] "GET / HTTP/1.1" 200 21463
[25/Jan/2026 17:12:17] "GET /static/css/dist/styles.css?v=1769348537 HTTP/1.1" 200 143082
[25/Jan/2026 17:12:17] "GET /cowork/map-builder/ HTTP/1.1" 200 24783
[25/Jan/2026 17:12:17] "GET /static/img/floorplan.svg HTTP/1.1" 200 693194
[25/Jan/2026 17:12:20] "GET /cowork/ HTTP/1.1" 200 29493
[25/Jan/2026 17:12:20] "GET /static/css/dist/styles.css?v=1769348540 HTTP/1.1" 200 143082
[25/Jan/2026 17:13:02] "GET /login/ HTTP/1.1" 200 14842
[25/Jan/2026 17:13:02] "GET /static/css/dist/styles.css?v=1769348582 HTTP/1.1" 200 143082
[25/Jan/2026 17:13:04] "POST /login/ HTTP/1.1" 302 0
[25/Jan/2026 17:13:04] "GET / HTTP/1.1" 200 21463
[25/Jan/2026 17:13:04] "GET /static/css/dist/styles.css?v=1769348584 HTTP/1.1" 200 143082
[25/Jan/2026 17:13:04] "GET /cowork/map-builder/ HTTP/1.1" 200 24783
[25/Jan/2026 17:13:04] "GET /static/img/floorplan.svg HTTP/1.1" 200 693194
[25/Jan/2026 17:13:07] "GET /cowork/ HTTP/1.1" 200 29487
[25/Jan/2026 17:13:07] "GET /static/css/dist/styles.css?v=1769348587 HTTP/1.1" 200 143082
